context,service,name,upload,value_type
dfs,datanode,SendDataPacketTransferNanosNumOps,FALSE,counter
dfs,datanode,SendDataPacketTransferNanosAvgTime,FALSE,time
yarn,ClusterMetrics,NumActiveNMs,TRUE,gauge
yarn,ClusterMetrics,NumDecommissionedNMs,FALSE,gauge
yarn,ClusterMetrics,NumLostNMs,FALSE,gauge
yarn,ClusterMetrics,NumUnhealthyNMs,FALSE,gauge
yarn,ClusterMetrics,NumRebootedNMs,FALSE,gauge
yarn,QueueMetrics,running_0,FALSE,gauge
yarn,QueueMetrics,running_60,FALSE,gauge
yarn,QueueMetrics,running_300,FALSE,gauge
yarn,QueueMetrics,running_1440,FALSE,gauge
yarn,QueueMetrics,AppsSubmitted,FALSE,counter
yarn,QueueMetrics,AppsRunning,FALSE,gauge
yarn,QueueMetrics,AppsPending,FALSE,gauge
yarn,QueueMetrics,AppsCompleted,FALSE,counter
yarn,QueueMetrics,AppsKilled,FALSE,counter
yarn,QueueMetrics,AppsFailed,FALSE,counter
yarn,QueueMetrics,AllocatedMB,FALSE,gauge
yarn,QueueMetrics,AllocatedVCores,FALSE,gauge
yarn,QueueMetrics,AllocatedContainers,FALSE,gauge
yarn,QueueMetrics,AggregateContainersAllocated,FALSE,counter
yarn,QueueMetrics,AggregateContainersReleased,FALSE,counter
yarn,QueueMetrics,AvailableMB,FALSE,gauge
yarn,QueueMetrics,AvailableVCores,FALSE,gauge
yarn,QueueMetrics,PendingMB,FALSE,gauge
yarn,QueueMetrics,PendingVCores,FALSE,gauge
yarn,QueueMetrics,PendingContainers,TRUE,gauge
yarn,QueueMetrics,ReservedMB,FALSE,gauge
yarn,QueueMetrics,ReservedVCores,FALSE,gauge
yarn,QueueMetrics,ReservedContainers,FALSE,gauge
yarn,QueueMetrics,ActiveUsers,FALSE,gauge
yarn,QueueMetrics,ActiveApplications,FALSE,gauge
yarn,QueueMetrics,FairShareMB,FALSE,gauge
yarn,QueueMetrics,FairShareVCores,FALSE,gauge
yarn,QueueMetrics,MinShareMB,FALSE,gauge
yarn,QueueMetrics,MinShareVCores,FALSE,gauge
yarn,QueueMetrics,MaxShareMB,FALSE,gauge
yarn,QueueMetrics,MaxShareVCores,FALSE,gauge
yarn,NodeManagerMetrics,containersLaunched,FALSE,counter
yarn,NodeManagerMetrics,containersCompleted,FALSE,counter
yarn,NodeManagerMetrics,containersFailed,FALSE,counter
yarn,NodeManagerMetrics,containersKilled,FALSE,counter
yarn,NodeManagerMetrics,containersIniting,FALSE,gauge
yarn,NodeManagerMetrics,containersRunning,FALSE,gauge
yarn,NodeManagerMetrics,allocatedContainers,FALSE,gauge
yarn,NodeManagerMetrics,allocatedGB,FALSE,gauge
yarn,NodeManagerMetrics,availableGB,FALSE,gauge
